train/reward,train/length,train/episode,train/env_step
-20.0,3837.0,1,3086624
-21.0,3056.0,1,3095424
-21.0,3056.0,1,3096480
-21.0,3411.0,1,3102320
-20.0,3371.0,1,3109440
-20.0,3945.0,1,3111952
-20.0,3603.0,1,3115440
-21.0,3408.0,1,3123744
-19.0,4226.0,1,3129232
-21.0,3776.0,1,3132832
-20.0,3610.0,1,3138320
-21.0,3523.0,1,3140864
-21.0,3768.0,1,3142096
-21.0,3487.0,1,3143344
-21.0,3168.0,1,3149088
-21.0,3296.0,1,3155600
-20.0,3463.0,1,3157344
-20.0,3855.0,1,3174176
-20.0,4145.0,1,3175248
-19.0,4476.0,1,3176672
-21.0,3536.0,1,3183888
-20.0,3610.0,1,3187056
-21.0,3372.0,1,3201152
-19.0,3686.0,1,3204736
-19.0,3790.0,1,3207760
-21.0,3168.0,1,3210000
-19.0,3988.0,1,3218960
-20.0,3482.0,1,3229552
-20.0,3680.0,1,3230592
-20.0,3373.0,1,3231728
-20.0,3463.0,1,3235472
-19.0,4485.0,1,3241312
-21.0,4020.0,1,3243008
-20.0,3775.0,1,3249152
-20.0,3367.0,1,3256496
-20.0,3726.0,1,3261536
-21.0,3172.0,1,3266688
-18.0,4650.0,1,3272672
-20.0,3987.0,1,3274896
-21.0,3411.0,1,3276448
-21.0,3352.0,2,3283760
-21.0,3056.0,1,3285984
-21.0,3371.0,1,3293696
-21.0,3677.0,1,3296112
-21.0,3056.0,1,3300896
-21.0,3411.0,1,3302192
-19.0,4173.0,1,3306048
-21.0,3446.0,1,3311328
-20.0,3950.0,1,3317584
-21.0,3296.0,1,3322480
-21.0,3056.0,1,3326640
-21.0,3540.0,1,3329216
-20.0,3591.0,1,3334784
-21.0,3056.0,1,3336576
-21.0,3652.0,1,3340544
-21.0,3296.0,1,3343952
-20.0,3685.0,1,3351952
-21.0,3296.0,1,3353008
-20.0,3350.0,1,3356016
-21.0,3056.0,1,3361024
-21.0,3296.0,1,3370320
-21.0,3892.0,1,3371680
-20.0,3371.0,1,3378928
-20.0,3367.0,1,3379984
-20.0,3708.0,1,3385680
-21.0,3296.0,1,3388112
-19.0,4776.0,1,3391216
-19.0,4247.0,1,3395008
-20.0,3435.0,1,3399168
-21.0,3296.0,1,3405296
-20.0,3481.0,1,3407840
-21.0,3536.0,1,3413968
-20.0,3842.0,1,3418848
-18.0,4063.0,1,3427504
-19.0,4934.0,1,3430688
-20.0,3479.0,1,3435664
-18.0,4705.0,1,3436800
-20.0,3367.0,1,3440896
-20.0,3703.0,1,3448480
-21.0,3648.0,1,3456688
-20.0,3836.0,1,3461376
-19.0,3920.0,1,3463040
-20.0,3987.0,1,3467568
-20.0,3510.0,1,3468976
-21.0,3056.0,1,3472928
-20.0,3485.0,1,3484576
-21.0,3300.0,1,3487776
-20.0,3594.0,1,3490576
-21.0,3652.0,1,3492256
-21.0,3371.0,1,3496032
-20.0,3703.0,1,3498608
-19.0,4270.0,1,3501728
-21.0,3408.0,1,3515040
-20.0,3462.0,1,3519952
-21.0,3536.0,1,3524320
-19.0,4286.0,1,3536016
-20.0,4859.0,1,3538032
-21.0,3056.0,1,3539792
-21.0,3364.0,1,3546864
-18.0,4482.0,1,3551824
-21.0,3536.0,1,3553264
-19.0,4088.0,1,3557024
-19.0,4037.0,1,3568304
-19.0,3863.0,1,3570704
-21.0,3411.0,1,3574144
-21.0,3056.0,1,3576752
-21.0,3300.0,1,3579664
-20.0,3367.0,1,3583968
-21.0,3056.0,1,3595152
-21.0,3168.0,1,3596816
-21.0,3760.0,1,3598384
-21.0,3056.0,1,3601200
-21.0,3056.0,1,3604112
-20.0,3481.0,1,3607856
-21.0,3400.0,1,3611168
-21.0,3056.0,1,3622832
-21.0,3635.0,1,3624224
-21.0,3296.0,1,3627568
-21.0,3056.0,1,3632304
-20.0,3721.0,1,3633872
-20.0,3485.0,1,3639040
-20.0,3591.0,1,3651568
-19.0,3750.0,1,3654352
-21.0,3296.0,1,3658672
-21.0,3280.0,1,3660112
-18.0,4242.0,1,3668256
-21.0,3056.0,1,3676016
